id,title,organization,organization_type,detail_url,apply_url,apply_type,homepage_url,recruit_type,recruit_close_at,salary_info,address,description_image_urls,description_image_local,logo_url,description_text,view_count,discovered_at
319109,[에스티씨랩] SRE팀 DevOps,(주)에스티씨랩,중소기업,https://linkareer.com/activity/319109,https://career.stclab.com/job_posting/5pDnuqDQ,접수페이지,,ASAP,2026-07-29T14:59:59+00:00,회사 내규에 따름,서울 강남구 봉은사로37길 5,,,https://media-cdn.linkareer.com/activity_manager/logos/827188,"[에스티씨랩] SRE팀 DevOps

[모집기간]
04월 30일 ~ 채용 시 마감

[담당업무]
-AWS · Kubernetes(EKS) 인프라 운영에 참여해요.
-GitOps(Argo CD) 기반 배포 파이프라인 일부를 맡아 PR 리뷰부터 배포까지 전 과정을 경험해요.
-옵저버빌리티 시스템(Grafana, Mimir, Loki, Tempo, Pyroscope)의 대시보드·알림 룰을 작성하고 개선해요.
-OpenTelemetry Collector 기반 메트릭/로그/트레이스 파이프라인을 보조해요.
-AIOps 시스템(HolmesGPT, Robusta)의 런북·toolset 작성 등 LLM 기반 운영 자동화에 기여해요.
-Python/Go/ Shell 로 운영 도구를 자동화하고 스크립트를 개발해요.
-사내 기술 문서(런북, ADR)를 작성하고 개선해요.

[자격요건]
-컴퓨터공학을 전공하셨거나, 또는 그에 준하는 수준의 기초 지식을 갖추신 분
-Terraform 등 IaC 도구를 활용한 인프라 자동화 구성 경험이 있으신 분
-Kubernetes(EKS) 기반 환경에 대한 이해를 갖추신 분
-대인 관계 및 커뮤니케이션 능력이 원활하신 분
-Linux 환경에서 셸을 능숙하게 다룰 수 있으신 분 (파일시스템, 프로세스, 권한, 기본 디버깅)
-Python, Go, 또는 그 외 한 가지 언어로 작은 프로그램을 직접 만들어본 경험이 있으신 분
-Git을 이용하여 협업을 경험해보신 분
-모르는 것을 마주쳤을 때 공식 문서·소스 코드·이슈 트래커를 직접 찾아보는 습관을 갖추신 분
-AI 도구를 학습·과제·개인 프로젝트에 적극 활용해보신 분
-기술 문서를 직접 쓰거나 정리해 본 경험이 있으신 분 (블로그, 위키, README, 학습 노트 등)

[우대사항]
-Kubernetes·Docker 등 컨테이너 환경을 직접 만져보신 분
-클라우드 자격증(AWS SAA, CKA, CKAD 등) 또는 그에 준하는 학습 경험이 있으신 분
-자체 인프라를 구축해보신 분
-오픈소스 프로젝트에 이",0,2026-05-03T14:22:06+00:00
319093,[이노션] 아트디렉터 (체험형 인턴),이노션,대기업,https://linkareer.com/activity/319093,https://innocean.recruiter.co.kr/career/jobs/108548,접수페이지,,NORMAL,2026-05-05T14:59:59+00:00,회사 내규에 따름,서울 강남구 강남대로 308,,,https://media-cdn.linkareer.com/activity_manager/logos/827122,"[이노션] 아트디렉터 (체험형 인턴)

[모집기간]
04월 30일 ~ 05월 05일

[담당업무]
-캠페인 크리에이티브 관련 자료조사 및 아이데이션ㅁ
-PRINT/DA 광고 디자인 시안작업 및 이미지 소스 서칭
-키노트 페이지네이션 및 보고서 레이아웃

[자격요건]
-4년제 대학생 혹은 학사학위 보유자 / 그래픽디자인, 광고디자인, 광고홍보학 관련 전공자
-PRINT/DA 광고 디자인 시안작업 및 이미지 소스 서칭이 가능한 분
-Photoshop, Illustrator 등 디자인 관련 Tool 활용 가능한 분
-편집 및 그래픽 디자인, 레이아웃 구성 등의 아트웍이 가능한 분
-적극적이고 팀워크에 자신있는 분
-최종합격 후, 지정 입사일에 입사 가능한 분
-해외 출장에 결격 사유가 없는 분 (남성의 경우, 회사가 지정한 입사일까지 병역을 마쳤거나 면제되신 분)

[우대사항]
-생성형 AI 프로그램, 영상 편집 프로그램 능통자
-광고 및 디자인 관련 공모전 수상 이력 보유자

[채용공고]

아트디렉터 (체험형 인턴)

고용형태
 계약기간포지션명 
연차
근무지 

체험형 인턴

 3개월아트디렉터 (체험형인턴)
경력 무관
본사

■ 업무내용
캠페인 크리에이티브 관련 자료조사 및 아이데이션ㅁPRINT/DA 광고 디자인 시안작업 및 이미지 소스 서칭키노트 페이지네이션 및 보고서 레이아웃

■ 지원자격4년제 대학생 혹은 학사학위 보유자 / 그래픽디자인, 광고디자인, 광고홍보학 관련 전공자PRINT/DA 광고 디자인 시안작업 및 이미지 소스 서칭이 가능한 분Photoshop, Illustrator 등 디자인 관련 Tool 활용 가능한 분편집 및 그래픽 디자인, 레이아웃 구성 등의 아트웍이 가능한 분적극적이고 팀워크에 자신있는 분최종합격 후, 지정 입사일에 입사 가능한 분해외 출장에 결격 사유가 없는 분 (남성의 경우, 회사가 지정한 입사일까지 병역을 마쳤거나 면제되신 분)

■ 우대사항
생성형 AI 프로그램, 영상 편집 프로그램 능통자광고 및 디자인 관련 공모전 수상 이력 ",0,2026-05-03T14:22:18+00:00
319046,마케팅 인턴,주식회사 제로백데브,스타트업,https://linkareer.com/activity/319046,https://zero100.dev/career/jobs/1751ac6e-6559-4eae-8030-ca143a3ca49d,접수페이지,,ASAP,2026-07-29T14:59:59+00:00,회사 내규에 따름,서울 구로구 디지털로31길 62,,,https://media-cdn.linkareer.com/activity_manager/logos/826989,"마케팅 인턴접수 기간2026-04-30 ~ 채용 시 마감
모집부문 및 상세내용[인턴] 마케터(0명)채용 형태- 인턴 6개월

ㅣ 주요 업무- 링크드인, 블로그 등 소셜 채널 운영 및 콘텐츠 기획
- 자사 웹사이트 칼럼 및 소식글 작성
- 콘텐츠 및 웨비나 관련 광고 운영 (Google Ads, 소셜 광고 등)
- Google Analytics(GA) 기반 채널별 성과 분석 및 리포팅
- 뉴스레터 콘텐츠 기획
ㅣ 자격 요건
- 글쓰기에 강점이 있으며 콘텐츠 기획에 관심이 높은 분
- 주도적으로 업무를 추진하고 마감 기한을 철저히 준수하는 분
- 기본적인 디지털 마케팅 툴 활용 가능한 분

ㅣ 우대 사항
- 링크드인, 블로그 등 소셜 미디어 채널 운영 경험
- 카피라이팅 또는 콘텐츠 포트폴리오 보유
- 광고 집행(Meta, LinkedIn Ads 등) 경험
- Google Ads 또는 GA4 활용 경험 보유 시 우대
자격요건학력
학력무관
근무조건급여
면접 후 급여 결정, 회사 내규에 따름
근무지역
서울 구로구 디지털로31길 62 911호 
지원 기간 및 방법접수기간
2026-04-30 ~ 채용 시 마감
접수방법
홈페이지 지원
유의사항허위 사실이 발견될 경우 채용이 취소될 수 있습니다.",0,2026-05-03T14:22:05+00:00
319045,[이노션] 아트디렉터 (체험형 인턴),(주)이노션,대기업,https://linkareer.com/activity/319045,https://innocean.recruiter.co.kr/career/jobs/108548,접수페이지,,NORMAL,2026-05-05T14:59:59+00:00,회사 내규에 따름,서울 강남구 강남대로 308,,,https://media-cdn.linkareer.com/activity_manager/logos/826987,"고용형태
 계약기간포지션명 
연차
근무지 
체험형 인턴
 3개월아트디렉터 (체험형인턴)
경력 무관
본사

■ 업무내용

 - 캠페인 크리에이티브 관련 자료조사 및 아이데이션
 - PRINT/DA 광고 디자인 시안작업 및 이미지 소스 서칭
 - 키노트 페이지네이션 및 보고서 레이아웃

■ 지원자격

 - 4년제 대학생 혹은 학사학위 보유자 / 그래픽디자인, 광고디자인, 광고홍보학 관련 전공자
 - PRINT/DA 광고 디자인 시안작업 및 이미지 소스 서칭이 가능한 분
 - Photoshop, Illustrator 등 디자인 관련 Tool 활용 가능한 분
 - 편집 및 그래픽 디자인, 레이아웃 구성 등의 아트웍이 가능한 분
 - 적극적이고 팀워크에 자신있는 분
 - 최종합격 후, 지정 입사일에 입사 가능한 분
 - 해외 출장에 결격 사유가 없는 분 (남성의 경우, 회사가 지정한 입사일까지 병역을 마쳤거나 면제되신 분)

■ 우대사항

 - 생성형 AI 프로그램, 영상 편집 프로그램 능통자
 - 광고 및 디자인 관련 공모전 수상 이력 보유자

■ 지원서 접수

 - 공고가 게시된 기간 내 접수 (지원서는 제출완료 된 건에 한하여 검토)
 - 이노션 채용 홈페이지의 온라인 입사 지원서 제출

■ 채용전형

 - 서류전형  -  면접전형  -   입사

■ 기타사항

 - 취업보호대상자(장애, 보훈 등)는 관계 법령에 의거하여 우대합니다.
 - 상시채용 특성상, 전형 일정이 변동 될 수 있습니다. 
 - 전형 별 합격자에 한하여 개별 안내 예정입니다.
 - 입사지원서 기재사항 또는 제출서류 중 허위사실이 있는 경우 합격이 취소될 수 있습니다.
 - 전형대상자에 한하여 별도의 증빙서류를 요청할 수 있습니다.
 - 정상근무가 불가능할 경우, 합격이 취소되거나 전형상 불이익이 있을 수 있습니다.",0,2026-05-03T14:22:07+00:00
318966,[선릉/7시간근무/중식제공] 신세계 JAJU 이커머스팀 온라인 AMD 채용,주식회사유니에스,중견기업,https://linkareer.com/activity/318966,kdm0408@unies.com,이메일,,NORMAL,2026-05-05T23:00:59+00:00,회사 내규에 따름,서울 강남구 테헤란로 424,,,https://media-cdn.linkareer.com/activity_manager/logos/826750,"[선릉/7시간근무/중식제공] 신세계 JAJU 이커머스팀 온라인 AMD 채용접수 기간 2026-04-30 ~ 2026-05-06
모집부문 및 상세내용모집 부문상세내용이커머스
온라인 AMD
(0명)
담당업무 (신세계 까사 JAJU 이커머스 AMD)1. 온라인 상품 등록 및 관리
- 상품정보(이미지, 상세 설명, 가격 등) 등록 및 업데이트
2. 온라인 프로모션 및 이벤트 기획/ 실행 지원
- 온라인 판매 증진을 위한 프로모션 및 이벤트 아이디어 제안
3. 프로모션 컨텐츠 제작 및 운영 지원
4. 온라인 채널 관리 지원
- 자사몰 및 외부 온라인 플랫폼 관리 지워
5. 고객 문의 응대 및 CS 지원
6. 기타 팀 사무업무
채용형태- 인턴/파견계약직 (회사내부사정 및 업무평가에 따라 최대 2년 근무 가능)-  파트너
우대조건패션/유통 관련 전공자
MS Office 활용 능력 우수자
포토샵 등 이미지 편집 프로그램 활용능력 우수자
온라인 패션/유통분야 경력자
온라인 쇼핑몰 및 이커머스 플랫폼에 대한 이해도 우수자
긍정적이고 적극적인 자세 보유자

복리후생▶ 중식제공, 명절/생일 선물, 각종경조사 휴가 및 지원금 제공, 연차 외 유급휴가 제공(조건부)
자격요건학력
학력무관
근무조건급여
회사 내규에 따름 (연봉 2,357 만원 ~ 경력자 처우 / 하루 7시간 근무 및 중식 제공함을 유의 부탁 드립니다.)
근무지역
서울 강남구 테헤란로 424 신세계 까사 JAJU 사무실 
전형 절차Step 1
서류전형
Step 2
실무진 면접
Step 2
최종합격
지원 기간 및 방법접수기간
2026-04-30 ~ 2026-05-06 (개별서류전형 및 면접 진행 / ASAP / 채용시 마감)
접수방법
이메일 지원 (kdm0408@unies.com) / 자유 이력서 양식, 포트폴리오 제출 우대
유의사항허위 사실이 발견될 경우 채용이 취소될 수 있습니다.채용 절차1. 서류전형 (서류전형 합격자분들 한하여 연락 드리는 점 유의 부탁 드립니다.)
   ※필요시 서류접수 전 유선 인터뷰를 진행하고 있",0,2026-05-03T14:22:17+00:00
318941,[체험형 인턴] numbuzin 글로벌 마케터(3개월~),비나우,스타트업,https://linkareer.com/activity/318941,https://www.benow.co.kr/ko/o/214922,접수페이지,,ASAP,2026-07-29T14:59:59+00:00,회사 내규에 따름,서울 서초구 서초대로 411,https://media-cdn.linkareer.com//se2editor/image/826688,images/318941.png,https://media-cdn.linkareer.com/activity_manager/logos/826689,,0,2026-05-03T14:22:09+00:00
318933,[베이직스] 커머스팀 확인채널파트 인턴 모집,베이직스(주),스타트업,https://linkareer.com/activity/318933,https://linkareer.com/activity/318933,간편지원,https://basic-s.com/,NORMAL,2026-05-31T14:59:59+00:00,"13,000원 ~ 13,000원/시간",서울 마포구 양화로 85,https://media-cdn.linkareer.com//se2editor/image/826658;https://media-cdn.linkareer.com//se2editor/image/826659,images/318933.jpg,https://media-cdn.linkareer.com/activity_manager/logos/826661,,0,2026-05-03T14:22:09+00:00
318927,[한국리서치] UX부문 인턴 연구원 채용,한국리서치,공공기관/공기업,https://linkareer.com/activity/318927,https://hrc.recruiter.co.kr/appsite/company/index,접수페이지,,NORMAL,2026-05-10T14:59:59+00:00,회사 내규에 따름,서울 강남구 봉은사로 179,https://media-cdn.linkareer.com//se2editor/image/826646,images/318927.png,https://media-cdn.linkareer.com/activity_manager/logos/826647,"[한국리서치] UX부문 인턴 연구원 채용

[모집기간]
04월 30일 ~ 05월 10일

[담당업무]
- IT / 가전 / 자동차 제품 컨셉 개발을 위한 조사 컨설팅 업무 보조
- IT / 가전 / 자동차 평가 및 개선을 위한 조사 컨설팅 업무 보조
- IT / 가전 / 자동차 UX 솔루션 개발 및 검증 업무 보조
- 기타 국내외 IT 산업 조사 수행 및 컨설팅 보고서 작성 보조
- 해외 프로젝트 전담 인력
* IT/가전/자동차 분야에 높은 관심과 흥미를 보유한 분, 사회 현상과 문화 트렌드에 관심이 높은 분들의 많은 지원바랍니다.

[자격요건]
- 국내외 4년제 대학 졸업(예정)자(휴학생 지원 가능하나, 최소 6개월 이상 근무 가능자)
- OA 활용능력(엑셀, 워드, PPT, 한글) 중급 이상인 자
- 적극적인 자세, 꼼꼼한 태도를 가진 자
- 해외 출장에 결격 사유가 없는 자
- 영어 커뮤니케이션 가능자(해외 업무 및 출장 多)

[우대사항]
- 全 전공 지원 가능(경영/경제/마케팅, 시각디자인, 디자인 전략, 인지심리학, 인지공학, 심리학, HCI 전공 우대)

[채용공고]",0,2026-05-03T14:22:10+00:00
318920,코오롱FnC G/FORE(지포어) 마케팅팀 인턴 공고,코오롱인더스트리 FnC 부문,대기업,https://linkareer.com/activity/318920,hyejin_kim15@kolon.com,이메일,https://www.kolonmall.com/,ASAP,2026-07-29T14:59:59+00:00,회사 내규에 따름,서울 강남구 삼성로 518,,,https://media-cdn.linkareer.com/activity_manager/logos/353262,"코오롱FnC G/FORE(지포어) 마케팅팀 인턴 공고 접수 기간 2026-04-30 ~ 채용 시 마감
모집부문 및 상세내용모집 부문상세내용코오롱 FnC
지포어 마케팅
인턴 공고 
(1명)
담당업무1) G/FORE 마케팅팀 내 브랜드 운영 및 사무 업무 서포트
2) 공식 SNS 콘텐츠 기획 및 피드 구성
‣ 한국, 중국, 일본 SNS 채널 운영 보조
3) SNS 콘텐츠 제작
4) 인플루언서 마케팅 실행 및 리스트 관리
5) 대행사 및 외부 파트너와 커뮤니케이션
6) 협찬 제품 발송 관리 (택배·퀵 등)
7) 브랜드 촬영 업무 보조
채용형태- 인턴 3개월 (최대 6개월까지 연장 가능)
우대조건1) 브랜드 마케팅 또는 관련 업무 유경험자
2) 디자인 툴(Photoshop, Illustrator 등) 활용 능숙자
3) 릴스 및 SNS용 숏폼 영상 제작 가능자
4) AI 툴(이미지 생성, 콘텐츠 분석 등) 활용 경험자
5) 영어, 중국어, 일본어 등 외국어 활용 가능자
6) 꼼꼼한 업무 처리 능력 및 패션/골프 마케팅에 대한 높은 관심도
자격요건학력
대학졸업(4년) 이상(졸업예정자 가능)
근무조건급여
회사 내규에 따름
근무시간
주 5일(월~금) 09:00 ~ 18:00
근무지역
서울 강남구 삼성로 518 인더스트리빌딩 
전형 절차Step 1
서류전형
*필수 : 이력서 및 자기소개서 (자유형식)
*선택 : 포트폴리오
Step 2
1차 면접(실무자)
*합격자 개별 통보
Step 3
2차 면접(팀장)
*합격자 개별 통보
Step 3
최종합격
지원 기간 및 방법접수기간
2026-04-30 ~ 채용 시 마감
접수방법
이메일 지원
복리후생4대보험, 자유복장
유의사항허위 사실이 발견될 경우 채용이 취소될 수 있습니다.",0,2026-05-03T14:22:18+00:00
318880,[챌린저스] 사업 운영 인턴 (자동차 구독 사업),주식회사 화이트큐브,스타트업,https://linkareer.com/activity/318880,https://recruit.whitecube.co.kr/ko/o/214898,접수페이지,https://recruit.whitecube.co.kr/,NORMAL,2026-05-11T14:59:59+00:00,회사 내규에 따름,서울 강남구 테헤란로 427,https://media-cdn.linkareer.com//se2editor/image/826462,images/318880.png,https://media-cdn.linkareer.com/activity_manager/logos/826463,,0,2026-05-03T14:22:14+00:00
